user = john.carnell, sessionId = A63CE4AE10012D69293FD6098814DE17 ,  2019-08-05T15:06:05.074+0500 , http-nio-8197-exec-5 , com.sharklabs.inspections.api.InspectionController.getInspectionTemplatesByAsset , INFO ,  Request received in controller to get inspection templates by asset uuid. Asset UUID: 08a65ac1-62a7-4d5a-97b6-dc20bcdab982
user = john.carnell, sessionId = A63CE4AE10012D69293FD6098814DE17 ,  2019-08-05T15:06:05.077+0500 , http-nio-8197-exec-5 , com.sharklabs.inspections.api.InspectionService.getInspectionTemplatesByAsset , INFO ,  Inspection templates of asset got successfully
user = john.carnell, sessionId = AD51555CECBBA48ACFD8CFBBE664817B ,  2019-08-05T15:06:05.087+0500 , http-nio-8197-exec-1 , com.sharklabs.inspections.api.InspectionController.getInspectionTemplatesByAsset , INFO ,  Request received in controller to get inspection templates by asset uuid. Asset UUID: 08a65ac1-62a7-4d5a-97b6-dc20bcdab982
user = john.carnell, sessionId = AD51555CECBBA48ACFD8CFBBE664817B ,  2019-08-05T15:06:05.090+0500 , http-nio-8197-exec-1 , com.sharklabs.inspections.api.InspectionService.getInspectionTemplatesByAsset , INFO ,  Inspection templates of asset got successfully
user = john.carnell, sessionId = E01EFCD73B0DF0BD92F227F5D0A4889C ,  2019-08-05T15:06:05.099+0500 , http-nio-8197-exec-3 , com.sharklabs.inspections.api.InspectionController.getInspectionTemplatesByAsset , INFO ,  Request received in controller to get inspection templates by asset uuid. Asset UUID: 08a65ac1-62a7-4d5a-97b6-dc20bcdab982
user = john.carnell, sessionId = E01EFCD73B0DF0BD92F227F5D0A4889C ,  2019-08-05T15:06:05.102+0500 , http-nio-8197-exec-3 , com.sharklabs.inspections.api.InspectionService.getInspectionTemplatesByAsset , INFO ,  Inspection templates of asset got successfully
user = john.carnell, sessionId = FAECB38E308706479FA342821A519B9B ,  2019-08-05T15:06:05.112+0500 , http-nio-8197-exec-7 , com.sharklabs.inspections.api.InspectionController.getInspectionTemplatesByAsset , INFO ,  Request received in controller to get inspection templates by asset uuid. Asset UUID: 08a65ac1-62a7-4d5a-97b6-dc20bcdab982
user = john.carnell, sessionId = FAECB38E308706479FA342821A519B9B ,  2019-08-05T15:06:05.114+0500 , http-nio-8197-exec-7 , com.sharklabs.inspections.api.InspectionService.getInspectionTemplatesByAsset , INFO ,  Inspection templates of asset got successfully
user = john.carnell, sessionId = 1262F67CEF6D676EAD5CB2323E6C275F ,  2019-08-05T15:06:05.124+0500 , http-nio-8197-exec-4 , com.sharklabs.inspections.api.InspectionController.getInspectionTemplatesByAsset , INFO ,  Request received in controller to get inspection templates by asset uuid. Asset UUID: 08a65ac1-62a7-4d5a-97b6-dc20bcdab982
user = john.carnell, sessionId = 1262F67CEF6D676EAD5CB2323E6C275F ,  2019-08-05T15:06:05.126+0500 , http-nio-8197-exec-4 , com.sharklabs.inspections.api.InspectionService.getInspectionTemplatesByAsset , INFO ,  Inspection templates of asset got successfully
